id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,video_url,image_url,url,positive_reactions,negative_reactions,Sentiment Analysis
pfbid0nD7SLQEfM7Sr3mKeNFQwd88gBvwmtqcJxskgUjEnPr2Z9NFvyna1aB3i3FtdnZUgl,HuggingFace Community ,0,2,0,0,0,0,0,0,2,0,https://www.cerebras.net/.../btlm-3b-8k-7b.../...,2023-08-01T22:19:29.048615,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/364810934_121619064337476_7671342295065772393_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=LkDqDCZrECIAX-RJkd1&_nc_ht=scontent.fcai19-7.fna&oh=00_AfCnLfYu3mz06GJ6oBwmae_2zkAaBK11-tcp65HB4HCfDA&oe=64CF1D66,https://www.facebook.com/permalink.php?story_fbid=pfbid0nD7SLQEfM7Sr3mKeNFQwd88gBvwmtqcJxskgUjEnPr2Z9NFvyna1aB3i3FtdnZUgl&id=100094681485185&__cft__[0]=AZX8RyXdOgaOWT7b10i72iDSzER9xDliHgw3jtRm-vqU-sYWdzJho1fKC195gmXei2rYwBHSE8SQnslYphKcXsofbOcCGNLXsDhCy-DuNMkWaOuF2_ILzApoEF9GfbR-j30vaak4NrjICgGOU3goxNOxBzkIXm-_g-5Nkp5smpCcZDEeDVxVftxRvZ603ndb7m3TAc52APm6Ns9X3UtsYd-U&__tn__=%2CO%2CP-R,2,0,positive
pfbid06Hy2G3cLqvdEFZVG9HFkxsGvqd3KApbycFHpBxQTpX6MoPCP6MyRdXSezUpTmJgBl,HuggingFace Community ,0,4,0,0,0,0,0,0,4,0,TextDiffuser: Diffusion Models as Text Paintershttps://huggingface.co/spaces/JingyeChen22/TextDiffuser,2023-08-01T21:19:35.258583,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/364806131_121592164340166_4427614669320920367_n.jpg?stp=dst-jpg_p180x540&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=HVTLcmwr8tkAX9eemaZ&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBP5tRzh1n4e6MmTHlM9Phl9yaiCJwSUIcci67wv1kROA&oe=64CE87BB,https://www.facebook.com/permalink.php?story_fbid=pfbid06Hy2G3cLqvdEFZVG9HFkxsGvqd3KApbycFHpBxQTpX6MoPCP6MyRdXSezUpTmJgBl&id=100094681485185&__cft__[0]=AZXSW26cTt4l7TDvmXbSN-nYZirTaUM0Q6Ywild34trFecH6LHmqiABgUXOeimzdhccYSX2Gaugy1h3M8UlYyBMkQ5tTiPSTyWGubShFT2g1JwmRZfAl0P2SQDdvtqbeeTpf_sGZjH0B6NvAfX13Ba-Yarqia1w0-6eRdPAvK0UEXrHgirrLi9z9x1_i7w86YN-Cg96x_YdG8d8WEwxSqfCM&__tn__=%2CO%2CP-R,4,0,positive
pfbid02rFuuL9f3kc1YTUntJkwnLx6i2j1tTmtj3Jnemx4Uy1PEuT9zQViCBY1pELtGTzLUl,HuggingFace Community ,0,2,0,0,0,0,0,0,2,0,https://huggingface.co/spaces/Xenova/semantic-image-search,2023-08-01T20:19:35.298098,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/365152474_121559267676789_4183001415729425978_n.jpg?stp=dst-jpg_s640x640&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=N7FrQy-KKnQAX97egzT&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDD8PU2q2G7U51QPc1S-NbEq2K27FZCgjOa8Mp_XsKEkQ&oe=64CEC661,https://www.facebook.com/permalink.php?story_fbid=pfbid02rFuuL9f3kc1YTUntJkwnLx6i2j1tTmtj3Jnemx4Uy1PEuT9zQViCBY1pELtGTzLUl&id=100094681485185&__cft__[0]=AZXUcA9KyWZwLkDz66i_a2geIt3qaSw9_5aot8cdRCmLedqHReA8Ncp8d0dTlXMdVWRmD0vue3-mRT7imeeapWaUOH2aPDOPUDo2pddFZw_30Wj7iSmvARcEofs6kPXAsvS7vZ_7PHCAdKDDZduhDklvu9x5H7yM4fZdsVmd8yb0AHH_ys3sCTVGAg2_blXMV9Mr0ssZp4RjOhLbzZTu9yV-&__tn__=%2CO%2CP-R,2,0,positive
pfbid0FLPnVFr6sfbPPRt19e8fDJcejtmJxnhFhJGFVp5tQBA2Hta1nUYCjyQJQdjkSe6sl,HuggingFace Community ,0,3,0,0,0,0,0,0,3,0,https://tao.studio,2023-07-22T23:01:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/362645542_114361841729865_3131679614736038607_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=IHCB0zeQlOEAX-0DrFj&_nc_ht=scontent.fcai19-7.fna&oh=00_AfB1s2R910PeDjaYy0Hoptaj8C5lkGvZ946x2UYRJz-I8A&oe=64CEAADA,https://www.facebook.com/permalink.php?story_fbid=pfbid0FLPnVFr6sfbPPRt19e8fDJcejtmJxnhFhJGFVp5tQBA2Hta1nUYCjyQJQdjkSe6sl&id=100094681485185&__cft__[0]=AZUyzt5OnbR7FxTYYhf0UL09m4vo_EPtSNejpQkxmz5Q42d5bwJABmGPDatUV83LXGd_XL6vy9ODvzeaygiEN42l_FoYdUX4DR3eHlAjDjN8gFtQKNh_gbGr5K755hz7UbafJAq4KxBynDE3w1bq7zBxOWTCU4W6BJbdIB5CdPhQFWoq9F3UKrO7w8BXwZFfs3a4pm46xjsoDTzX_1DeA_HO&__tn__=%2CO%2CP-R,3,0,positive
pfbid034XR8JXkk5fLds1JhafYnjiWFLD3fLsk25VgHK8V3C1qpoCpN9Dae5ukYcg32XYSil,HuggingFace Community ,0,1,1,0,0,0,0,0,2,1,LLAMA -2-70b is on hugginface chathttps://huggingface.co/chat/,2023-07-20T14:05:00,['blob:https://www.facebook.com/efa1ea33-3c43-4f37-a690-f4383eb3d6b8'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.5256-10/362061473_266500752659856_7356074706055740594_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=RDQktm6aY1QAX8yBKeF&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBKwsDF7efDDeIop47rhgbk3eATVyhsWuyu3x--kQlxKg&oe=64CE61DE,https://www.facebook.com/permalink.php?story_fbid=pfbid034XR8JXkk5fLds1JhafYnjiWFLD3fLsk25VgHK8V3C1qpoCpN9Dae5ukYcg32XYSil&id=100094681485185&__cft__[0]=AZUPzwqw-oPbsgJg4FwsMZHaYcoih0YaPhoV0EGyugNuNnLAuUK_drNo9FvAfVt3U0FqmYaLCleDVduoxDV1-yr4L0ZKOiR2MdrdKD-ZWA3uN8ySlvIeWcwLbDa_OMf9jAtFKkj1DZZ5U6u64GDVhv_OwB2_uVHDToId_aRFgtrELtcq9Xx6BS4Hq9DQ3vCRPkBuXwxrClQletmWUq51QRr4&__tn__=%2CO%2CP-R,2,0,positive
pfbid02Qsejjz5JQGoCxDsdMn9hKyEmFb1zc8z5998uTCgUV8uuURRXA3Q8qc5Bncdc73Ynl,HuggingFace Community ,0,3,0,0,0,0,0,0,3,0,Llama2 70B Chatbothttps://huggingface.co/.../ysharma/Explore_llamav2_with_TGI,2023-07-19T13:03:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/361887400_110808062085243_343753287133888776_n.jpg?stp=dst-jpg_p180x540&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=RiTH7SI-0FMAX-bjN4v&_nc_ht=scontent.fcai19-7.fna&oh=00_AfAbBIBSq1kAg_pF0t5WS6YPy3ozYRwdzz10lW2TZKrA3A&oe=64CE7AE9,https://www.facebook.com/permalink.php?story_fbid=pfbid02Qsejjz5JQGoCxDsdMn9hKyEmFb1zc8z5998uTCgUV8uuURRXA3Q8qc5Bncdc73Ynl&id=100094681485185&__cft__[0]=AZUrKQiV67MN1rp4v3by5x2ID3uMy6oaBsDkXLF5QOFA3Z88zPJzn9GicAWFVHJdQ14g1vWUoKZyHhb-VpQkNYs853sHHS0IU7uSsz216pKN8OAm4DTrMtiBa_Rx-YcpaV_wF8tLg-MNpG-sy-H2vAh-FomUTfPtYMAx-YpCGM7L7ZhF4_lUWN9pxO4QteI8w4h60Qs-UhD18uY3Isa9Y-qW&__tn__=%2CO%2CP-R,3,0,positive
pfbid02Z6a71oMzkeXqSBwYACPiMbF56nrS5PC87f7N3b1yVKGEzn43pReCZinDu5jyCkDtl,HuggingFace Community ,0,4,0,0,0,0,0,0,4,1,Let's enjoy bunches of state-of-the-art models.https://chat.lmsys.org/,2023-07-19T11:08:00,['blob:https://www.facebook.com/c89ff8fd-4f60-49d2-a469-b0a575e2c84f'],,https://www.facebook.com/permalink.php?story_fbid=pfbid02Z6a71oMzkeXqSBwYACPiMbF56nrS5PC87f7N3b1yVKGEzn43pReCZinDu5jyCkDtl&id=100094681485185&__cft__[0]=AZXrLR1pmt3WStilhQMZ6Z4BQBSfz0rlAI4f7qqbiDAC4IJX7hAZ5QD_AWnXe4-14uWJp7G4bL3l7XN7kGswP2RksGDgN8vpCrIbRnRoWmSoBiUBql2MwK9iANankdeQLRVkxXKlkNrfN2_7zCfXSddC0OB9Vx7TPQKwA95QWdWHqWKGdraj2bT8jSHId5wjiM9oTsAIfH-NqA38uz2UtxVm&__tn__=%2CO%2CP-R,4,0,positive
pfbid0DZdLhnHH7mYKhpKZmMiuuSsEjAQ5JCCSC4C3FbbU7TU1qsGfKqnYECpuoAGtUBTwl,HuggingFace Community ,0,4,0,0,0,0,0,0,4,1,Playing around with MosaicML MPT-30B-Chathttps://huggingface.co/spaces/mosaicml/mpt-30b-chat,2023-07-17T20:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/361631319_109101532255896_3491776432407743495_n.jpg?stp=dst-jpg_p180x540&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=x0GM0IRRgdsAX8dAUqM&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBvKSEdPYBGcxf7letkNox4eghh6lIXWCoq70tDJg9ofQ&oe=64CFB241,https://www.facebook.com/permalink.php?story_fbid=pfbid0DZdLhnHH7mYKhpKZmMiuuSsEjAQ5JCCSC4C3FbbU7TU1qsGfKqnYECpuoAGtUBTwl&id=100094681485185&__cft__[0]=AZX-Jo4J5DNfU9Vt20HeYwygnuIYg9EmFTzYjHo0_wciV4B3m8cX0o1jsI7BvnkZqfH84tDQCghwoN5Z39x3w58OiOK4o0oIxr8eoBSlFxBlGajfe5Os101wR88e79DdsDjp7BvFYB4uiOJ0VuWmCTdJeBDDjzVadO_SClEgs48LPpqIjEVrKLyU7ks9TfXkWvIJd6i0ZAtl2Y04p9sq4CBC&__tn__=%2CO%2CP-R,4,0,positive
